# time [s],Power [W]
156,-0.32715907
156.25,0.437965684
156.5,0.443490864
156.75,0.449019987
157,0.454553092
157.25,0.934887277
157.5,0.962245618
157.75,0.989630279
158,1.017041859
158.25,2.024524356
158.5,2.130920206
158.75,2.237444155
159,2.344101487
159.25,2.300792325
159.5,2.395027307
159.75,2.489392294
160,2.583891615
160.25,3.02595253
160.5,3.147023657
160.75,3.268287081
161,3.38974918
161.25,2.320264688
161.5,2.372583034
161.75,2.424987703
162,2.477480336
162.25,2.530062577
162.5,2.582736068
162.75,2.635502453
163,2.688363374
163.25,2.511969068
163.5,2.556163407
163.75,2.600438912
164,2.644796799
164.25,2.323888967
164.5,2.356574111
164.75,2.389319991
165,2.422127335
165.25,1.691256103
165.5,1.705824613
165.75,1.720417771
166,1.735035755
166.25,1.880473571
166.5,1.897711275
166.75,1.914979705
167,1.932279095
167.25,3.175412047
167.5,3.22502638
167.75,3.274746684
168,3.324574378
168.25,3.37451088
168.5,3.424557609
168.75,3.474715986
169,3.524987429
169.25,1.752296395
169.5,1.762868023
169.75,1.773458149
170,1.784066866
170.25,-0.233011207
170.5,-0.232709523
170.75,-0.232400706
171,-0.23208478
171.25,-1.941175489
171.5,-1.91309013
171.75,-1.884903659
172,-1.85661755
172.25,-3.481689674
172.5,-3.380313183
172.75,-3.278641493
173,-3.176682965
173.25,-2.915376456
173.5,-2.823215793
173.75,-2.730817554
174,-2.638188937
174.25,-1.066338007
174.5,-1.049282202
174.75,-1.032180271
175,-1.01503292
175.25,0.132537509
175.5,0.13213235
175.75,0.131727995
176,0.131324442
176.25,1.14360834
176.5,1.153229731
176.75,1.162864127
177,1.172511617
177.25,2.35444637
177.5,2.398360194
177.75,2.442350829
178,2.48641949
178.25,1.956684542
178.5,1.982259573
178.75,2.007878602
179,2.033542115
179.25,0.870429009
179.5,0.87377864
179.75,0.877131965
180,0.880488995
180.25,0.288929757
180.5,0.288589724
180.75,0.288249923
181,0.287910354
181.25,0.051803598
181.5,0.051387567
181.75,0.05097361
182,0.050561723
182.25,-0.441232776
182.5,-0.438368453
182.75,-0.435491596
183,-0.432602293
183.25,-1.411095226
183.5,-1.384373534
183.75,-1.357580588
184,-1.33071768
184.25,-1.508909624
184.5,-1.473090829
184.75,-1.43718715
185,-1.401200482
185.25,-1.426390202
185.5,-1.387016625
185.75,-1.347559604
186,-1.308021269
186.25,-0.996329128
186.5,-0.971457665
186.75,-0.946536796
187,-0.921567643
187.25,-0.748905824
187.5,-0.731120518
187.75,-0.71330198
188,-0.695450916
188.25,-0.498493568
188.5,-0.488393408
188.75,-0.478274665
189,-0.468137674
189.25,-0.375285664
189.5,-0.368208853
189.75,-0.361119298
190,-0.354017209
190.25,-0.192999117
190.5,-0.190437801
190.75,-0.187871132
191,-0.185299173
191.25,-0.182721984
191.5,-0.180139628
191.75,-0.177552168
192,-0.174959665
192.25,-0.033777676
192.5,-0.033571158
192.75,-0.03336341
193,-0.033154441
193.25,0.001388315
193.5,0.001320027
193.75,0.001252728
194,0.001186413
194.25,0.049678629
194.5,0.049435661
194.75,0.049193125
195,0.04895102
195.25,0.144824367
195.5,0.144824367
195.75,0.144824367
196,0.144824367
196.25,0.144824367
196.5,0.144824367
196.75,0.144824367
197,0.144824367
197.25,0.144824367
197.5,0.144824367
197.75,0.144824367
198,0.144824367
198.25,0.388609187
198.5,0.392713347
198.75,0.396820236
199,0.400929876
199.25,0.405042291
199.5,0.4091575
199.75,0.413275528
200,0.417396397
200.25,0.690297127
200.5,0.703552502
200.75,0.716819682
201,0.730098844
201.25,0.743390164
201.5,0.756693821
